11 Degrees,dpo@example.99,fashion,00_Trial,"11 Degrees offer a range of men's & women's t-shirts, jackets, jeans & tracksuits"
Acqua Di Parma,dpo@example.100,Fashion,00_Trial,"Acqua di Parma is an Italian lifestyle and fashion company that produces fragrances, candles, bathrobes and leather accessories"
Arket,dpo@example.101,Fashion,00_Trial,"Arket is a unique, Nordic-inspired fashion and homewares store"
Birchbox,dpo@example.102,Fashion,00_Trial,Birchbox is a New York City-based online monthly subscription service that sends a box of four to five beauty related products
Buccellati,dpo@example.103,Fashion,00_Trial,Buccellati Holding Italia is a Chinese-owned Italian jewellery and watch company
Carhartt,dpo@example.104,Fashion,00_Trial,A collection of durable and comfortable men's and women's clothing
Damsel In A Dress,dpo@example.105,Fashion,00_Trial,Damsel in a Dress is a contemporary clothing brand for women
Deborah Lippmann,dpo@example.106,Fashion,00_Trial,Deborah Lippmann is a celebrity and fashion manicurist who has designed nail polishes
FashionBeans,dpo@example.107,Fashion,00_Trial,"Men's Fashion, Style & Grooming Advice"
For Love & Lemons,dpo@example.108,Fashion,00_Trial,Los Angeles women's fashion brand
,,,,
,,,,
,,,,
,,,,
